"rsq","mu","sampling"
0.998807567538374,68.96818367294046,"Beta-Binomial rho = 0.01"
0.9962272479850613,55.59883433385554,"Beta-Binomial rho = 0.05"
0.9913509153603208,52.541057302974615,"Beta-Binomial rho = 0.1"
0.9743882571078297,109.02251776963068,"Binomial"
0.9719927875332132,114.43828627124182,"Beta-Binomial rho = 0.01"
0.98365962278768,87.97294277540398,"Beta-Binomial rho = 0.05"
0.9868981109867836,71.97572688135683,"Beta-Binomial rho = 0.1"
0.9843061687986813,135.3779077166868,"Binomial"
0.9805109393179606,137.47274733150704,"Beta-Binomial rho = 0.01"
0.9911099618199758,101.58501104891808,"Beta-Binomial rho = 0.05"
0.9935159382240525,78.64217469897139,"Beta-Binomial rho = 0.1"
0.9786794248360561,108.49829646533735,"Binomial"
0.9777589034387172,98.25896176332876,"Beta-Binomial rho = 0.01"
0.9731633844082299,87.94714440075836,"Beta-Binomial rho = 0.05"
0.9812899890699789,76.30700874056495,"Beta-Binomial rho = 0.1"
0.999044161017095,128.68953274310223,"Binomial"
0.998198219001223,123.89579712207356,"Beta-Binomial rho = 0.01"
0.9881131392181872,95.48526339569061,"Beta-Binomial rho = 0.05"
0.9926696811993837,84.44766072001526,"Beta-Binomial rho = 0.1"
0.9553233692868569,61.468992726303,"Binomial"
0.9702986605549662,57.8254848545783,"Beta-Binomial rho = 0.01"
0.9768520561044353,47.68645134389137,"Beta-Binomial rho = 0.05"
0.9719117033992128,40.10780660108852,"Beta-Binomial rho = 0.1"
0.9798635569806315,38.767617884532605,"Binomial"
0.9746122409025241,41.22757624801925,"Beta-Binomial rho = 0.01"
0.9809989034366162,36.123809828703564,"Beta-Binomial rho = 0.05"
0.9770456569612553,35.192582937497896,"Beta-Binomial rho = 0.1"
0.9889536154122562,102.58758132888573,"Binomial"
0.9891354200769354,88.3680678047066,"Beta-Binomial rho = 0.01"
0.9798739864610178,61.70398606888211,"Beta-Binomial rho = 0.05"
0.9946772900122007,49.91262433687831,"Beta-Binomial rho = 0.1"
0.9910200752026831,102.67862508347962,"Binomial"
0.9974566853088029,99.36739563172846,"Beta-Binomial rho = 0.01"
0.9970436103605437,81.34778195537612,"Beta-Binomial rho = 0.05"
0.9940533401556901,68.36410880362713,"Beta-Binomial rho = 0.1"
0.9981488885210761,91.37497338392708,"Binomial"
0.9969289821208188,87.97361300168654,"Beta-Binomial rho = 0.01"
0.9853233053778673,74.4742715804433,"Beta-Binomial rho = 0.05"
0.9921794461137864,58.90317378639647,"Beta-Binomial rho = 0.1"
0.9979604109019055,73.09764542852477,"Binomial"
0.993679358532619,74.0110675205451,"Beta-Binomial rho = 0.01"
0.9882685988803345,52.61068655177508,"Beta-Binomial rho = 0.05"
0.9916103261676874,42.704111433954516,"Beta-Binomial rho = 0.1"
0.9981531591565611,128.4116040994123,"Binomial"
0.9964936611839061,122.76081527198829,"Beta-Binomial rho = 0.01"
0.9934795179474392,96.6562304113435,"Beta-Binomial rho = 0.05"
0.9873839666731834,76.92117052866557,"Beta-Binomial rho = 0.1"
0.9994312861151396,74.91091461363858,"Binomial"
0.998820961757396,69.65376009689547,"Beta-Binomial rho = 0.01"
0.9915958404451751,69.71369555566767,"Beta-Binomial rho = 0.05"
